method_short,method_full_name,sector,status,integrity_tier,chubb_affected,chubb_recommendation_applies,key_critique_references,federal_register_instrument,latest_determination_url,notes
HIR,Human-Induced Regeneration of a permanent even-aged native forest,Vegetation,under_review,contested,TRUE,TRUE,"Macintosh et al. (2022) ANU working papers; Butler-Verstegen et al. (2023) response",F2013L01711 (orig); amendments ongoing,https://www.legislation.gov.au/Details/F2019C00664,"Chubb Review panel recommended replacement by Integrated Farm and Land Management (IFLM). High-volume method; academic debate about additionality of regeneration vs pre-existing growth."
AD,Avoided Deforestation,Vegetation,suspended,contested,TRUE,TRUE,"Chubb (2022) Independent Review; Evans (2016) analysis",F2015L00398,https://www.legislation.gov.au/Details/F2015L00398,"Closed to new project registrations post-Chubb. Existing projects continue to accrue credits to end of crediting period."
AC_native_regrowth,Avoided Clearing of native regrowth,Vegetation,active,standard,TRUE,FALSE,"Chubb (2022) did not recommend suspension",F2015L00400,https://www.legislation.gov.au/Details/F2015L00400,"Continued active but with enhanced Integrity Assurance Committee (IAC) oversight."
MNFR,Measurement Based Methods for New Farm Forestry Plantations,Vegetation,active,standard,FALSE,FALSE,,F2014L00532,https://www.legislation.gov.au/Details/F2014L00532,"FullCAM-based measurement; considered robust."
Plantings_2014,Environmental Plantings (FullCAM 2014),Vegetation,expired,standard,FALSE,FALSE,,F2014L00691,https://www.legislation.gov.au/Details/F2014L00691,"Crediting period ended 30 September 2024. Superseded by Plantings 2024 FullCAM."
Plantings_2024,Environmental Plantings (FullCAM 2024),Vegetation,active,high,FALSE,FALSE,,F2024L01292,https://www.legislation.gov.au/Details/F2024L01292,"Successor method to Plantings 2014; uses updated FullCAM model."
Savanna_EA_2018,Savanna Fire Management: Emissions Avoidance 2018,Savanna,superseded,high,FALSE,FALSE,"Ansell et al. (2020) ERR review",F2018L00363,https://www.legislation.gov.au/Details/F2018L00363,"Superseded by Savanna Fire Management 2026 method. Widely considered one of the highest-integrity methods."
Savanna_EA_S_2018,Savanna Fire Management: Emissions Avoidance + Sequestration 2018,Savanna,superseded,high,FALSE,FALSE,,F2018L00364,https://www.legislation.gov.au/Details/F2018L00364,"Companion method to EA 2018; superseded by 2026."
Savanna_2026,Savanna Fire Management 2026,Savanna,active,high,FALSE,FALSE,,F2026L00001,https://www.legislation.gov.au/Details/F2026L00001,"Unified successor method. High scientific confidence in baseline and measurement."
Beef_cattle,Beef Cattle Herd Management,Agriculture,active,standard,FALSE,FALSE,,F2015L01338,https://www.legislation.gov.au/Details/F2015L01338,"Emissions-avoidance via feed and breeding efficiency."
Piggery,Destruction of methane from piggeries,Agriculture,active,high,FALSE,FALSE,,F2012L01996,https://www.legislation.gov.au/Details/F2012L01996,"Methane capture; technically verifiable."
Soil_measured,Measurement of soil carbon sequestration,Agriculture,active,contested,TRUE,FALSE,"Academic debate on measurement uncertainty and permanence; Chubb (2022) recommended tightened measurement protocols",F2018L00089,https://www.legislation.gov.au/Details/F2018L00089,"Chubb Review recommended stronger Measurement Reporting and Verification (MRV); debate on detection threshold."
Landfill,Landfill Gas Capture and Combustion,Landfill and Waste,active,contested,TRUE,FALSE,"Baseline-setting concerns; NGER Safeguard facility overlap",F2012L01895,https://www.legislation.gov.au/Details/F2012L01895,"Widely used; baseline-crediting methodology debated. Some facilities also Safeguard-covered (overlap risk)."
AWT,Alternative Waste Treatment,Landfill and Waste,active,standard,FALSE,FALSE,,F2015L01004,https://www.legislation.gov.au/Details/F2015L01004,""
CMWG,Coal Mine Waste Gas,Mining/Oil/Gas,active,standard,FALSE,FALSE,,F2018L00460,https://www.legislation.gov.au/Details/F2018L00460,"Methane capture from coal mine workings."
Oil_gas_FE,Oil and Gas Fugitive Emissions,Mining/Oil/Gas,active,standard,FALSE,FALSE,,F2022L00858,https://www.legislation.gov.au/Details/F2022L00858,"Leak detection and repair."
Commercial_EE,Commercial buildings energy efficiency,Energy Efficiency,active,standard,FALSE,FALSE,,F2013L01165,https://www.legislation.gov.au/Details/F2013L01165,""
Industrial_EE,Industrial equipment upgrades,Energy Efficiency,active,standard,FALSE,FALSE,,F2015L01347,https://www.legislation.gov.au/Details/F2015L01347,"Additionality depends on upgrade counterfactual."
Blue_carbon,Tidal restoration of blue carbon ecosystems,Blue carbon,active,standard,FALSE,FALSE,,F2022L00862,https://www.legislation.gov.au/Details/F2022L00862,"New method; limited project pipeline to date."
