industry,anzsic_code,production_variable,baseline_2023_24_t_co2e_per_unit,baseline_2024_25,baseline_2029_30,notes
Alumina refining,2131,tonnes alumina,0.800,0.761,0.585,"Industry-average default baseline; declining 4.9% p.a."
Aluminium smelting,2132,tonnes aluminium,1.650,1.570,1.208,"Includes Scope 1 process emissions; electricity excluded."
Cement clinker,2030,tonnes clinker,0.820,0.780,0.600,"Primarily process emissions from calcination."
Ammonia production,1829,tonnes ammonia,1.600,1.522,1.171,"Feedstock and process combined."
Iron and steel (BOS),2110,tonnes crude steel,2.100,1.997,1.536,""
LNG production,0700,tonnes LNG,0.300,0.285,0.219,"Scope 1 from combustion and fugitive."
Coal mining (open-cut),0600,tonnes ROM,0.022,0.021,0.016,""
Coal mining (underground),0600,tonnes ROM,0.450,0.428,0.329,"Higher fugitive emissions than open-cut."
Oil and gas extraction,0700,petajoules production,15.00,14.27,10.97,""
Petroleum refining,1701,kilolitres throughput,0.320,0.304,0.234,""
Electricity generation (coal),2610,MWh sent out,0.960,0.913,0.702,"Black coal average; brown coal higher."
Electricity generation (gas),2610,MWh sent out,0.420,0.400,0.307,""
Nickel production,2133,tonnes nickel,9.500,9.036,6.950,""
Copper production,2130,tonnes copper,2.800,2.663,2.048,""
Gold production,2130,tonnes gold,12000.0,11412.0,8775.7,""
Iron ore mining,0803,tonnes iron ore,0.015,0.014,0.011,""
Lithium mining,0901,tonnes lithium,1.800,1.712,1.316,""
Glass production,2010,tonnes glass,0.650,0.618,0.475,""
Pulp and paper,1510,tonnes output,1.200,1.141,0.878,""
Lime production,2030,tonnes lime,1.100,1.046,0.805,""
